latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
28.3093,84.09561,329.93,0.43,0.62,2026-01-13,820,N,VIIRS,n,2.0NRT,295.5,2.92,D
28.3105,84.09595,330.7,0.43,0.62,2026-01-13,820,N,VIIRS,n,2.0NRT,295.97,3.39,D
28.35928,80.5147,329.06,0.52,0.5,2026-01-13,820,N,VIIRS,n,2.0NRT,293.43,3.69,D
28.39466,78.2764,331.13,0.38,0.44,2026-01-13,820,N,VIIRS,n,2.0NRT,292.55,1.38,D
28.39564,78.27654,331.15,0.39,0.44,2026-01-13,820,N,VIIRS,n,2.0NRT,292.73,1.05,D
28.52808,80.39707,338.71,0.51,0.49,2026-01-13,820,N,VIIRS,n,2.0NRT,293.73,5.98,D
28.58018,79.57309,331.45,0.46,0.47,2026-01-13,820,N,VIIRS,n,2.0NRT,293.59,2.38,D
28.64816,80.11133,343.12,0.49,0.49,2026-01-13,820,N,VIIRS,n,2.0NRT,292.43,7.35,D
28.72864,80.22475,341.72,0.5,0.49,2026-01-13,820,N,VIIRS,n,2.0NRT,294.95,4.09,D
28.73309,82.94064,326.3,0.37,0.58,2026-01-13,820,N,VIIRS,n,2.0NRT,295.85,3.64,D
28.73556,82.94191,336.41,0.37,0.58,2026-01-13,820,N,VIIRS,n,2.0NRT,299.6,3.25,D
28.73584,82.94569,335.73,0.37,0.58,2026-01-13,820,N,VIIRS,n,2.0NRT,301.51,3.25,D
28.7386,82.94183,331.64,0.37,0.58,2026-01-13,820,N,VIIRS,n,2.0NRT,290.67,3.82,D
28.78848,82.59532,333.02,0.35,0.57,2026-01-13,820,N,VIIRS,n,2.0NRT,294.14,2.5,D
28.95577,77.99522,333.69,0.57,0.43,2026-01-13,820,N,VIIRS,n,2.0NRT,290.69,4.18,D
28.97408,81.95056,325.58,0.32,0.55,2026-01-13,820,N,VIIRS,n,2.0NRT,291.85,3.17,D
29.01599,82.93458,338.53,0.37,0.58,2026-01-13,820,N,VIIRS,n,2.0NRT,298.98,8.05,D
29.01617,82.93684,327.27,0.37,0.58,2026-01-13,820,N,VIIRS,n,2.0NRT,296.93,8.28,D
29.1028,82.37649,332.3,0.34,0.56,2026-01-13,820,N,VIIRS,n,2.0NRT,299.42,6.75,D
29.10292,82.37519,330.1,0.34,0.56,2026-01-13,820,N,VIIRS,n,2.0NRT,298.49,6.18,D
29.17433,78.60367,331.72,0.41,0.45,2026-01-13,820,N,VIIRS,n,2.0NRT,291.72,2.56,D
29.17684,78.60294,325.15,0.41,0.45,2026-01-13,820,N,VIIRS,n,2.0NRT,291.11,2.17,D
29.18382,79.05875,329.02,0.43,0.46,2026-01-13,820,N,VIIRS,n,2.0NRT,293.13,2.66,D
29.24518,77.34351,331.64,0.53,0.42,2026-01-13,820,N,VIIRS,n,2.0NRT,292,6.33,D
29.24652,77.34631,330.03,0.53,0.42,2026-01-13,820,N,VIIRS,n,2.0NRT,292.26,4.76,D
29.27139,81.87682,330.95,0.32,0.55,2026-01-13,820,N,VIIRS,n,2.0NRT,295.13,10.01,D
29.27444,81.87372,338.62,0.32,0.55,2026-01-13,820,N,VIIRS,n,2.0NRT,287.05,4.93,D
29.27469,81.87674,349.39,0.32,0.55,2026-01-13,820,N,VIIRS,n,2.0NRT,285.24,4.93,D
29.38981,78.08425,329.07,0.39,0.44,2026-01-13,820,N,VIIRS,n,2.0NRT,291.51,2.42,D
29.39165,82.23175,328.53,0.34,0.56,2026-01-13,820,N,VIIRS,l,2.0NRT,298.94,6.14,D
